,Unnamed: 0,id,true,cb_num,cb,xgb_num,xgb,lgb_num,lgb,dp
0,0,5653,4,3.395076667033047,3.0,3.4093865156173706,3,3.3585763077110595,3.0,3
1,1,4041,1,2.6928214719622403,3.0,2.6846800446510315,3,2.7257106546784686,3.0,3
2,2,7033,4,3.0382419036158157,3.0,2.9425078630447388,3,3.012004600387748,3.0,3
3,3,282,3,3.096428375724259,3.0,2.9555744528770447,3,2.9906188471044515,3.0,3
4,4,471,3,3.4921285614286455,3.0,3.4891422390937805,4,3.5308163720581205,4.0,3
5,5,4360,3,3.1276116059195584,3.0,3.0626420378685,3,3.064077554119688,3.0,3
6,6,4212,3,3.4034513488732205,3.0,3.286544620990753,3,3.291275185222577,3.0,3
7,7,5975,3,3.4012251894176253,3.0,3.294931173324585,3,3.318637221869784,3.0,3
8,8,7821,3,1.375939027870219,1.0,1.322501763701439,2,1.2919206829623715,1.0,3
9,9,7461,4,3.3722083725555576,3.0,3.3590077161788936,3,3.3305894128148177,3.0,3
10,10,4759,3,2.8256071326669567,3.0,2.78748220205307,3,2.8273813498021068,3.0,3
11,11,7449,3,2.9231814447668394,3.0,2.961820900440216,3,2.9555599123022347,3.0,3
12,12,78,3,3.331952830814888,3.0,3.1316052675247192,3,3.156120425861853,3.0,3
13,13,319,3,3.3461353956613906,3.0,3.384926676750183,3,3.3253751086261203,3.0,3
14,14,4584,3,3.0759220957382087,3.0,3.03142511844635,3,3.030956892479725,3.0,3
15,15,4654,4,3.3569172257214603,3.0,3.3168317675590515,3,3.29338594744228,3.0,3
16,16,6177,1,2.5843718971123466,3.0,2.2792302072048187,3,2.4054026078001987,2.0,3
17,17,7219,1,3.0217339193732977,3.0,3.0072916746139526,3,2.981094825849842,3.0,3
18,18,572,3,2.647069655551315,3.0,2.6043446660041814,3,2.5343610574297206,3.0,3
19,19,3181,4,3.2659726749731592,3.0,3.2488529682159424,3,3.1827467885447884,3.0,3
20,20,3274,3,3.109558133451118,3.0,3.047848165035248,2,2.9965136381689166,3.0,3
21,21,6175,3,3.0756588798426763,3.0,3.069717526435852,3,3.062762961738968,3.0,3
22,22,412,2,2.6380330069703604,3.0,2.728650987148285,3,2.6998701277561903,3.0,3
23,23,2407,3,3.3788164722021627,3.0,3.3486258387565613,3,3.3200542533530295,3.0,3
24,24,65,2,2.5951447925190574,3.0,2.4864718914031982,3,2.5078431561776786,3.0,3
25,25,6187,1,2.8708810377722767,3.0,2.799949407577514,3,2.825540264526862,3.0,3
26,26,5524,1,2.5791377792752943,3.0,2.5477367043495183,3,2.486700144572487,2.0,3
27,27,4236,3,3.3173970570774243,3.0,3.3138257265090942,3,3.357021413624889,3.0,3
28,28,5932,3,2.8091648143458654,3.0,2.9004311561584477,3,2.898822884470768,3.0,3
29,29,7110,3,3.4496645063940945,3.0,3.3285706043243413,3,3.2904687543178444,3.0,3
30,30,29,2,2.8367509221819938,3.0,2.519730240106582,3,2.456711518388811,2.0,3
31,31,7,3,2.1460742787229954,2.0,2.261339098215103,3,2.210508449886417,2.0,3
32,32,7519,3,3.336050007065721,3.0,3.2417072057724,3,3.1817661403579884,3.0,3
33,33,2117,3,3.469484105251863,3.0,3.357082426548004,3,3.2910354973592404,3.0,3
34,34,5475,3,2.9146210298758364,3.0,2.97570264339447,3,2.887357211252703,3.0,3
35,35,6783,4,2.4713286366756084,2.0,2.260731548070908,2,2.451004413077895,2.0,3
36,36,1914,4,3.3555768268737296,3.0,3.305967211723328,3,3.319727637024997,3.0,3
37,37,2314,3,3.0593768575710696,3.0,3.215851962566376,3,3.1554728371295826,3.0,3
38,38,6602,4,2.7535718261965383,3.0,2.8056753873825078,3,2.7825116894029485,3.0,3
39,39,2941,2,2.8327850175807834,3.0,2.848762214183808,3,2.8231901572198685,3.0,3
40,40,1411,3,3.418532047811549,3.0,3.390600383281708,3,3.320669181064152,3.0,3
41,41,113,2,2.4192090646707216,2.0,2.2187542021274567,2,2.1683522002415816,2.0,3
42,42,1611,3,2.3517678934253263,2.0,2.499506026506424,3,2.490835774272666,2.0,3
43,43,5700,3,3.1653553625358155,3.0,3.149203896522522,3,3.0717438314798486,3.0,3
44,44,1218,3,3.237655250062387,3.0,3.2288944721221924,3,3.2273921771383143,3.0,3
45,45,4896,4,3.3157310680689758,3.0,3.355787992477417,3,3.286310375878,3.0,3
46,46,5561,3,3.1397861430351632,3.0,3.1068630218505864,3,3.0750731771399,3.0,3
47,47,4660,3,2.9484011841511335,3.0,2.8696425557136536,3,2.7827854063142694,3.0,3
48,48,4514,3,3.2231445907223915,3.0,3.1862911581993103,3,3.190952573788266,3.0,3
49,49,148,3,3.229735682147328,3.0,3.2629315853118896,3,3.2050781973542035,3.0,3
50,50,4948,4,3.5441046507740848,4.0,3.419372260570526,4,3.388416604552688,3.0,3
51,51,6051,3,2.949691577929507,3.0,2.984799921512604,3,3.0455203391450234,3.0,3
52,52,910,3,3.177713978324159,3.0,3.2784316539764404,3,3.2356180096114078,3.0,3
53,53,1883,3,3.1283250061872594,3.0,3.1167569160461426,3,3.0578476593246653,3.0,3
54,54,2546,4,3.5558025455030635,4.0,3.438188433647156,3,3.3558009874282746,3.0,3
55,55,611,2,2.573729797075543,3.0,2.4663107693195343,3,2.4299585745239534,2.0,3
56,56,3644,2,2.624176554051255,3.0,2.772376358509064,3,2.7083159134656696,3.0,3
57,57,373,3,3.2967036072141624,3.0,3.3165568709373474,3,3.2225668580130824,3.0,3
58,58,5054,3,2.882614941838329,3.0,2.8186534643173218,3,2.8430373673332787,3.0,3
59,59,1353,4,3.4715169915636532,3.0,3.5223895311355586,3,3.4018587981586275,3.0,3
60,60,1635,3,2.9902231168744025,3.0,2.8742207288742065,3,2.9383184634680783,3.0,3
61,61,5203,3,3.492250740120745,3.0,3.564253509044647,4,3.549939667261365,4.0,3
62,62,4908,2,2.6776223364237426,3.0,2.5772412121295933,3,2.5803104491875395,3.0,3
63,63,3042,1,2.090128103724162,2.0,2.0245740115642548,2,1.942519545494083,2.0,3
